22:29:35.216 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.0.22.Final
22:29:35.286 [main] INFO  com.Application - [logStarting,55] - Starting Application on NEWBEE with PID 20200 (E:\TigerTeeth\target\classes started by retun in E:\TigerTeeth)
22:29:35.288 [main] INFO  com.Application - [logStartupProfileInfo,655] - The following profiles are active: @profiles.active@
22:29:38.782 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8021"]
22:29:38.784 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
22:29:38.784 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.41]
22:29:38.958 [main] INFO  o.a.c.c.C.[.[.[/tigerTeeth] - [log,173] - Initializing Spring embedded WebApplicationContext
22:29:40.598 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8021"]
22:29:40.654 [main] INFO  com.Application - [logStarted,61] - Started Application in 6.182 seconds (JVM running for 7.54)
22:29:40.657 [main] INFO  c.l.ApplicationRunnerImpl - [run,30] - 启动执行完成。。。。。。。
22:29:40.662 [task-1] INFO  c.y.GameYqlyyWsClient - [report,268] - [<虎牙>]已关闭，进行重新链接
22:29:40.662 [task-1] INFO  c.y.GameYqlyyWsClient - [connect,244] - 一千零一夜<虎牙>准备链接GameYDHClient服务...
22:29:40.665 [task-1] INFO  c.y.GameYqlyyWsClient - [connect,258] - <虎牙>准备链接GameYDHClient服务 => wss://3b258d37-ws.va.huya.com/?baseinfo=DBYgMGE3ZDUwNmYwNjRjMDA2OTY0MDIxN2E3MThhNzA3OWMmGndlYmg1JjI1MTAzMDEwNDkmd2Vic29ja2V0NgxIVVlBJlpIJjIwNTJGAFYvMTY1ODIuMjUzMzYsNDQyOTkuNzY5NDksNDYzOTIuODIxMDYsNDkwMjMuODgwMTBsdgCGAJYAqAACBghIVVlBX05FVBYBMAYLSFVZQV9WU0RLVUEWGndlYmg1JjI1MTAzMDEwNDkmd2Vic29ja2V0
