01:26:36.975 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.0.22.Final
01:26:37.063 [main] INFO  com.Application - [logStarting,55] - Starting Application on chen with PID 9224 (G:\游戏\TigerTeeth\target\classes started by a1210 in G:\游戏\TigerTeeth)
01:26:37.063 [main] INFO  com.Application - [logStartupProfileInfo,655] - The following profiles are active: @profiles.active@
01:26:39.303 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8021"]
01:26:39.303 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
01:26:39.303 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.41]
01:26:39.416 [main] INFO  o.a.c.c.C.[.[.[/tigerTeeth] - [log,173] - Initializing Spring embedded WebApplicationContext
01:26:40.083 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8021"]
01:26:40.112 [main] INFO  com.Application - [logStarted,61] - Started Application in 3.652 seconds (JVM running for 4.43)
01:26:40.113 [main] INFO  c.l.ApplicationRunnerImpl - [run,30] - 启动执行完成。。。。。。。
01:26:40.114 [task-1] INFO  c.y.GameYqlyyWsClient - [report,302] - [<虎牙>]已关闭，进行重新链接
01:26:40.116 [task-1] INFO  c.y.GameYqlyyWsClient - [connect,278] - 一千零一夜<虎牙>准备链接GameYDHClient服务...
